Village Name,Location,1931 population,Number of houses 1931,1944/45 population,Jewish population ,Date of depopulation (Khalidi),Date of depopulation (Palestine Open Maps),Arab land possession 1944/45 (dunams),Jewish land possession 1944/45 (dunams),Public land ownership 1944/45 (dunams),Standing structures (1992),1992 notes ,Israeli settlements built on village lands: 1992,Current use ,Notes on modern use ,Data source for modern use ,Data source for modern use notes ,
al-Qubayba,31°53′41″N 34°46′17″E,799,160,1720,,19480527,na,8889,1397,451,several,Walls and rubble are interspersed with new Israeli buidlings. A former pool is used as a garbage dump; one house is used as a restaurant. ,2,Empty,Scubland,Google maps,"1-2 buildings stand, one with columns. No building with columns is mentioned in Khalidi.",
Qula,32°02′15″N 34°57′20″E,697,172,1010,,19480716,19480718,3885,271,191,1,Only the school remains. The land is forested. ,0,Empty,Scrubland,POM,,
Sajad,31°47′01″N 34°53′34″E,300,66,370,,19480710,19480717,NA,0,2795,na,The site is an inaccessible military zone ,0,Empty,Scrubland,POM,,
Salbit,31°52′10″N 34°59′11″E,406,71,510,,19480716,19480715,6105,0,6,0,Land is used for grazing cattle. ,1,Rebuilt,Residential,POM,,
Sarafand al-'Amar,31°57′34″N 34°50′58″E,1183,265,1950,,19480520,19480520,9223,761,3283,7,"6 houses and a school remain, some are abandoned and some occupied by Israelis. The site is now one of the largest Isreli army camps as well as an air base. ",2,Rebuilt,Commercial/Industrial,POM,,
Sarafand al-Kharab,31°56′11″N 34°48′20″E,974,206,1040,,19480412,19480401,3545,1611,347,several,"6 houses are occupied by Israeli families, the school is used by Isreali students and a pond and pump house in an orchared are undamaged. ",2,Rebuilt,Residential ,POM,,
Saydun,31°50′28″N 34°54′17″E,174,35,210,,19480406,19480406,6099,1221,167,1,One house remains and is used for storage. Surrounding lands are used for agriculture by Israelis. ,0,Empty,Agricultural,POM,,
Shahma,31°49′19″N 34°48′48″E,150,34,280,,na,19480501,5165,220,1490,0,The site has been incorporated into a military base,0,Empty,Agricultural,POM,,
Shilta,31°55′04″N 35°01′14″E,22,7,100,,19480718,19480718,5379,0,1,0,Overbuilt with settlement houses,1,Rebuilt,Residential ,POM,,
al-Tina,31°44′48″N 34°49′11″E,530,131,750,,19480709,19480709,5843,949,209,0,Village has been completely obliterated. ,0,Empty,Agricultural,POM,,
al-Tira,32°01′02″N 34°56′35″E,892,225,1290,,19480710,na,6706,0,250,several,"Some houses are abandoned, some occupied by Israelis, and some used as stables. ",3,Rebuilt,Residential,Google maps,,
Umm Kalkha,31°48′51″N 34°51′57″E,24,6,60,,"see al-batani al-gharbi, gaza district",19480501,1233,96,76,0,Site is occupied by the settlement of Yesodot,1,Rebuilt,Residential,POM,,
Wadi Hunayn,31°55′39″N 34°47′43″E,280,55,3380,1760,19480417,19480417,1998,3211,192,11,"The mosque has been converted to a synagogue. Of ten houses remaining, one is now a mental hospital and one is used by the IDF",2,Rebuilt,Residential,POM,,
Yibna,31°51′58″N 34°44′47″E,3600,794,5420,,19480605,19480604,37919,2845,18790,4,"3 houses and a mosque remain. Two of the houses are occupied by Isrealis, one by an Arab family. The mosque is abandoned. ","8, plus an educational institution",Rebuilt,Industrial/commercial,POM,,
"Zakariyya, Khirbat",31°55′28″N 34°58′23″E,na,na,na,,na,19480713,4538,0,0,0,Overgrown,0,Empty,Scrubland,POM,,
Zarnuqa,31°52′47″N 34°47′17″E,1952,414,2620,240,19480528,19480507,5640,1578,327,few,Houses that remain are occupied by Israelis or used as storage,5,Rebuilt,Residential,POM,,
